config,w_mse,out_mse,w_bytes,ratio,ms,gb_s
FP16 baseline,,,33554432,1.0,0.054532290000679495,615.6135383198045
QTIP K=2,0.071462,299.955139,4229120,7.93,0.468,9.1
QTIP K=3,0.018798,80.893799,6326272,5.30,0.676,9.4
QTIP K=4,0.005668,24.100716,8423424,3.98,0.743,11.4
